case_id,split,cv_fold
1027,train,0
0228,test,-1
1053,train,3
1069,train,3
0278,test,-1
0567,train,4
0087,val,-1
0927,train,1
0964,test,-1
0686,train,2
0080,train,4
0276,val,-1
0701,train,2
0630,test,-1
0601,train,3
0949,train,1
0600,train,0
0894,test,-1
0868,val,-1
0474,test,-1
0970,test,-1
0837,test,-1
0694,val,-1
0520,train,2
0578,train,4
0743,train,0
0307,test,-1
0390,train,1
0045,train,4
0602,val,-1
0661,train,0
0399,train,2
0431,train,1
0398,train,2
0536,test,-1
0223,test,-1
0406,test,-1
0239,train,3
0110,test,-1
0342,val,-1
0874,test,-1
0156,val,-1
0010,train,0
0006,train,1
0051,train,1
0938,test,-1
0615,test,-1
0669,train,3
0722,test,-1
0184,val,-1
0979,train,4
0348,train,3
0975,val,-1
0662,train,2
1095,train,3
0194,train,4
0610,train,1
0543,val,-1
0396,train,3
0688,train,3
0302,train,3
1073,train,0
0508,train,3
0277,train,0
0971,train,0
1124,train,0
0139,train,3
0499,train,1
0625,train,0
1127,train,2
0675,train,4
0011,train,2
0802,train,1
0727,train,1
0169,train,2
1077,train,4
0880,train,1
0155,train,1
0234,train,4
0863,train,0
0069,train,0
0923,train,1
0046,train,1
0640,train,2
0628,train,0
0719,train,3
0328,train,2
0004,train,1
0695,train,2
0941,train,4
0726,train,4
0354,train,4
0841,train,1
0641,train,3
1070,train,0
0425,train,2
0495,train,2
0337,val,-1
0588,train,4
0432,train,4
1031,train,3
0043,train,0
0881,train,0
0168,test,-1
0750,train,4
0445,val,-1
0403,train,0
0368,train,2
0141,train,3
0196,val,-1
0910,train,3
0180,train,0
0764,train,0
0704,train,1
0623,train,4
0486,train,0
0935,train,2
0096,train,0
1064,train,4
0181,train,4
0759,train,4
0170,val,-1
0827,train,4
0794,train,4
0892,train,4
0918,train,0
0173,train,0
0408,train,1
0323,train,0
0999,val,-1
0125,test,-1
1022,train,0
0643,train,1
0281,train,1
0269,train,1
0146,train,0
0329,train,3
0720,train,4
0725,val,-1
0805,train,3
1066,train,1
1091,val,-1
0549,train,2
0118,train,1
0144,train,3
1086,train,1
0065,train,3
1041,val,-1
0887,val,-1
1121,train,4
0468,train,4
0032,test,-1
0370,test,-1
0182,train,4
0611,train,3
0266,val,-1
0202,train,1
0097,test,-1
0552,train,1
0487,train,3
1046,train,4
0676,test,-1
0030,train,1
0730,train,4
0693,train,3
1065,train,1
1107,train,0
0900,train,4
0814,train,4
0763,val,-1
0321,train,3
0491,test,-1
0806,train,1
0373,train,0
0616,train,3
0715,train,3
0024,train,0
0899,train,2
0186,train,0
0654,train,0
0071,val,-1
0705,train,4
0418,train,4
0810,train,1
0295,train,3
0875,train,0
0220,test,-1
0762,val,-1
0870,train,0
0094,train,1
0289,test,-1
0054,train,4
0913,train,3
0294,train,2
0864,test,-1
0135,train,3
0539,train,2
0284,test,-1
0904,val,-1
0131,val,-1
1026,test,-1
0114,test,-1
1045,test,-1
0488,train,4
0287,train,1
0136,train,0
0188,test,-1
1083,train,1
0395,train,1
0544,train,2
0579,train,3
0618,train,0
0792,val,-1
0021,train,3
1003,train,2
0597,val,-1
0387,train,3
1017,train,0
0098,val,-1
0842,test,-1
1109,val,-1
0916,train,2
0582,val,-1
0629,train,1
1129,val,-1
0522,train,0
0607,train,4
0882,val,-1
0690,train,3
0263,train,1
0596,val,-1
0001,train,2
0352,train,1
0555,train,4
0945,train,2
0453,train,4
0771,train,0
1054,train,3
0148,train,3
0947,val,-1
0296,val,-1
0060,test,-1
0074,train,2
0504,train,1
0017,train,0
0040,test,-1
0713,train,4
0966,train,3
0254,train,1
0906,train,0
1105,train,4
0633,train,3
0061,train,2
0897,test,-1
0303,train,0
0936,test,-1
0466,val,-1
0362,train,1
0983,train,4
0728,train,1
0657,train,1
0943,val,-1
1044,test,-1
0090,test,-1
0624,val,-1
0250,val,-1
0068,train,3
0047,train,4
0478,train,0
0929,test,-1
0649,val,-1
0677,train,2
0249,val,-1
0031,train,1
0856,train,2
0833,train,1
0472,train,2
1119,train,4
0714,train,4
0952,train,2
0318,val,-1
0572,val,-1
0350,val,-1
0793,test,-1
0142,train,3
0963,train,4
0343,train,0
1018,test,-1
0374,test,-1
0075,val,-1
0570,train,2
0830,train,2
0292,train,0
1059,train,2
1040,val,-1
0584,val,-1
0738,train,3
0585,train,2
0822,train,3
0274,train,2
1019,train,2
0797,val,-1
0944,train,2
0608,train,1
0799,train,4
0025,val,-1
0820,train,0
0734,train,1
0104,train,3
1037,train,0
0896,train,3
0890,train,0
0702,val,-1
0739,test,-1
0898,train,1
0411,train,0
0324,train,0
0721,train,3
1001,train,0
0851,train,3
0838,train,2
0865,train,2
0551,train,3
1030,train,0
0206,train,4
0761,train,1
0992,train,3
0788,train,1
0977,train,1
0626,train,4
0067,train,1
1118,train,4
0853,val,-1
0313,train,2
0265,train,4
0237,train,4
0877,train,1
0189,test,-1
0951,val,-1
0773,train,2
0658,train,2
0283,train,4
0256,val,-1
0245,test,-1
1071,train,3
0678,train,0
0818,train,1
0869,train,2
0653,test,-1
1056,train,0
0319,train,2
0835,train,2
0717,train,2
0958,test,-1
0205,train,0
0446,train,4
0516,train,3
1067,train,2
0105,train,1
1012,train,2
0497,train,3
0795,train,1
0789,train,4
0791,train,2
0347,test,-1
0089,train,3
0691,train,2
0858,train,3
0381,train,1
0859,train,2
0404,train,0
1024,train,3
0605,train,1
0232,train,4
0137,train,3
0344,train,3
0790,train,2
0784,train,0
0427,train,1
0732,test,-1
0236,train,1
0355,train,1
0861,train,2
0557,train,1
0940,test,-1
0871,test,-1
0149,train,0
0315,test,-1
0889,train,1
0529,train,4
0275,val,-1
0385,test,-1
0391,train,1
0200,val,-1
0341,train,0
0765,train,0
0917,train,4
0573,train,1
0049,train,0
0325,test,-1
0297,test,-1
1058,train,3
0356,train,2
0942,test,-1
0571,val,-1
0400,train,2
0525,train,1
0012,test,-1
0459,train,1
0082,train,2
0867,train,0
0997,train,1
0251,train,1
0901,train,1
0058,train,1
1108,train,1
0078,train,2
0775,train,4
0540,test,-1
0638,train,4
0449,train,4
1116,train,2
0895,train,0
0016,train,4
0534,train,4
0133,train,2
0967,train,0
0545,train,4
0351,train,0
0346,train,2
1088,train,0
0209,train,1
0358,train,2
0512,train,3
0635,train,3
0920,train,3
0832,train,4
0599,test,-1
0377,train,2
0467,val,-1
0770,train,0
0974,train,4
0086,train,4
0706,test,-1
0330,train,3
0986,train,4
0084,val,-1
0270,val,-1
0056,train,3
0039,train,4
0360,val,-1
0981,train,1
0485,test,-1
0948,val,-1
0667,val,-1
0779,train,0
0774,train,2
1028,train,2
0577,train,2
0267,test,-1
0824,train,0
1082,train,0
0492,train,4
0860,test,-1
0217,val,-1
0062,train,1
0546,test,-1
0037,train,3
0257,val,-1
0041,test,-1
0528,train,2
0198,train,0
0523,test,-1
1048,val,-1
0766,test,-1
1079,train,0
0312,test,-1
0968,train,4
0724,train,4
0683,val,-1
1106,test,-1
0786,train,3
1006,train,1
0442,train,4
0984,train,0
0621,train,3
0334,train,3
0707,train,2
0304,test,-1
0255,test,-1
0651,train,0
0414,train,3
0982,train,2
0392,val,-1
0235,train,4
0736,train,4
0064,test,-1
0956,train,4
0993,train,1
0293,train,4
0433,val,-1
0745,train,3
1057,test,-1
1033,test,-1
0081,train,3
0961,test,-1
0160,train,0
0553,train,3
0583,test,-1
0420,train,3
0435,test,-1
0883,test,-1
0244,train,4
0558,train,4
0227,train,2
0476,train,2
1112,train,4
0783,test,-1
1120,train,0
0590,train,3
0199,test,-1
0242,train,4
0226,train,1
0261,train,2
0130,train,4
1092,train,3
0746,train,0
1009,train,2
0530,train,2
0455,train,2
0134,train,2
0095,train,0
0009,train,2
0262,val,-1
0778,train,1
0703,train,0
0048,train,0
1081,train,3
0563,train,3
0409,train,1
0123,test,-1
0710,train,4
0195,val,-1
0650,val,-1
0928,train,1
0648,val,-1
0501,train,0
0990,train,0
0776,val,-1
0862,train,2
0192,train,4
0679,val,-1
1039,train,3
0279,val,-1
0857,val,-1
0760,train,2
0912,test,-1
0953,val,-1
0298,train,4
0510,train,2
0494,train,1
1074,train,4
0561,test,-1
0924,test,-1
0272,train,4
1005,val,-1
0959,train,4
0998,train,1
0908,train,2
0183,test,-1
0581,train,3
0962,test,-1
1015,train,4
1078,train,3
0038,train,3
0518,train,4
0034,train,4
0985,train,4
0339,train,2
0405,train,4
0846,train,4
0165,train,0
0612,train,0
0070,val,-1
0166,train,3
0541,train,3
0014,train,3
1008,train,3
0845,train,3
0306,train,4
0671,train,4
0931,train,3
0204,train,3
1097,train,4
0322,train,1
1110,train,2
0426,train,1
1050,train,2
0033,train,3
0059,train,0
0163,test,-1
0240,train,1
1117,train,4
0682,test,-1
0247,train,1
0428,train,4
0685,train,2
0879,train,0
0637,train,4
0937,val,-1
0604,train,1
0756,train,1
0216,test,-1
0696,train,2
0627,train,0
0336,train,4
0326,train,2
0159,train,0
0264,train,4
0907,train,0
0758,train,2
0620,train,4
0566,train,2
0345,train,3
0586,train,2
1010,test,-1
0301,train,1
0808,train,2
0807,train,2
0268,train,3
0415,train,4
0574,train,1
0531,test,-1
1100,train,3
0215,train,0
0231,train,4
0201,train,0
0560,train,2
0260,train,2
0454,train,2
0768,test,-1
0179,train,3
0158,train,2
0575,val,-1
0290,train,1
0483,train,1
0909,test,-1
0785,test,-1
0042,train,2
0176,train,2
0666,val,-1
0357,train,4
0258,train,1
0777,train,2
0238,train,2
0460,train,0
0960,val,-1
1084,train,0
0489,test,-1
0171,train,2
0079,train,3
0639,val,-1
0850,test,-1
0481,test,-1
0556,test,-1
0441,train,1
1043,train,4
0147,train,1
0423,train,4
0526,test,-1
0174,train,0
1099,train,4
1004,train,3
0754,train,0
0742,val,-1
1036,train,1
0151,train,1
1094,train,4
0716,train,2
0587,train,3
0885,train,4
0684,test,-1
0598,train,2
0439,test,-1
0744,test,-1
0589,train,0
0700,train,3
0902,test,-1
0211,train,0
0394,train,0
0469,val,-1
0413,train,2
0893,train,3
0008,train,3
0050,train,3
0915,train,2
0422,val,-1
0946,train,1
0464,test,-1
0996,test,-1
0723,train,0
0273,train,3
1051,test,-1
1080,train,2
0447,train,0
0978,train,1
0109,train,1
0372,val,-1
0363,train,4
0210,test,-1
1011,train,2
0496,train,1
0844,train,3
0335,train,3
0606,train,0
0253,train,1
0452,val,-1
0212,train,2
0911,train,0
0698,test,-1
0595,train,1
0401,train,2
0203,train,1
0327,train,0
0100,train,1
0440,train,2
0593,train,1
1072,train,0
0410,val,-1
0886,train,3
0813,train,3
0162,train,2
0308,val,-1
0124,train,1
0987,train,2
0718,train,4
0333,val,-1
0708,train,3
0129,train,2
0535,train,0
0594,train,0
1090,train,4
0083,train,0
0873,train,2
0465,test,-1
0177,train,3
0712,train,4
0456,val,-1
0731,train,1
0193,test,-1
0076,val,-1
0285,test,-1
0121,val,-1
0019,val,-1
0412,val,-1
0876,train,0
0407,train,1
0656,train,4
0903,train,1
0562,train,2
0665,train,4
0364,train,2
1049,train,0
1025,test,-1
0565,train,3
0471,train,3
0619,train,4
0888,val,-1
0138,train,3
0550,test,-1
1013,train,1
0091,train,1
0988,train,0
0107,train,2
0108,train,3
0063,test,-1
1032,train,1
0519,train,3
0340,train,2
0036,train,2
0849,train,3
0073,train,3
0919,train,0
0479,train,3
0470,test,-1
0737,train,3
0825,train,1
0509,val,-1
0533,train,4
0214,train,3
0099,train,2
0185,train,3
0353,test,-1
0994,val,-1
0482,train,4
0537,test,-1
0367,train,2
1075,test,-1
0393,train,2
0052,test,-1
0787,val,-1
0161,val,-1
0112,train,3
0687,train,2
0029,test,-1
0809,train,2
0150,train,4
0507,val,-1
0733,train,4
0443,train,2
0384,train,2
0934,train,1
0926,train,4
0878,train,4
0331,train,4
1104,train,1
0498,train,0
0748,test,-1
0568,train,4
0463,train,3
1103,val,-1
1047,test,-1
0749,train,2
0444,train,0
0816,train,2
0747,val,-1
0515,train,0
0866,train,1
0448,test,-1
0126,val,-1
0569,train,1
0072,train,2
0922,train,2
0636,val,-1
0140,val,-1
0524,test,-1
0506,train,0
0111,test,-1
0843,train,2
0116,train,0
0175,train,2
0378,train,3
0755,train,0
0932,train,1
0741,train,1
0093,train,4
0854,train,1
0689,val,-1
0122,train,0
0230,train,2
0375,val,-1
0332,val,-1
0002,train,0
0167,val,-1
0003,train,3
0631,val,-1
0145,test,-1
0780,train,4
0659,train,3
0311,train,1
0178,val,-1
0930,train,4
0804,train,0
0527,train,2
0103,train,0
0580,val,-1
0548,train,1
0434,train,2
0143,train,3
0291,val,-1
0457,test,-1
0591,train,3
0811,val,-1
0101,train,1
0388,train,3
0219,train,0
1128,val,-1
1029,test,-1
0751,train,1
0592,train,0
0609,test,-1
0246,val,-1
0300,train,3
0817,train,3
1060,train,0
0419,train,2
0663,train,0
1016,train,1
0972,train,3
0752,train,3
0132,train,2
0120,train,1
0735,train,3
1002,train,4
0840,train,0
0617,train,4
0699,val,-1
1113,test,-1
0933,train,4
0383,train,0
0115,val,-1
0309,val,-1
1125,train,2
0027,train,3
0613,train,4
0991,train,3
0102,val,-1
0969,val,-1
0564,train,1
0475,train,2
0127,val,-1
0430,val,-1
0532,train,4
0462,train,1
0053,train,3
1093,test,-1
0187,train,1
0505,train,4
0314,train,2
1085,train,0
1014,test,-1
0015,val,-1
0480,train,1
0847,val,-1
0271,train,2
0197,train,3
0819,train,0
0424,train,4
0517,test,-1
0559,test,-1
0740,val,-1
1023,train,0
0248,train,3
0222,train,1
0044,train,3
1052,train,1
1076,train,0
0815,train,1
0013,test,-1
0280,train,3
0382,val,-1
0484,train,0
1068,val,-1
0416,train,3
0310,train,1
0005,test,-1
0020,train,1
0801,train,4
0709,train,3
0965,train,2
0660,train,1
0769,test,-1
0092,train,2
0164,train,2
0190,test,-1
1061,test,-1
1102,train,3
1096,test,-1
0954,val,-1
0241,val,-1
0955,test,-1
0655,train,4
0514,train,1
0668,val,-1
0674,train,3
0823,train,3
0066,train,4
0437,val,-1
0461,train,1
0282,test,-1
0022,val,-1
0796,train,3
0848,val,-1
0191,test,-1
0647,train,3
0389,val,-1
0502,train,3
0349,val,-1
0152,train,4
0213,train,0
0458,train,0
0218,train,4
0380,train,2
0397,train,0
0632,val,-1
1122,train,0
0672,train,1
0316,train,0
0243,train,3
0473,train,0
0450,val,-1
0299,train,0
0153,train,2
0259,train,2
0320,train,3
0681,train,0
1035,train,4
0812,train,2
0221,train,3
0233,train,3
0028,val,-1
0207,train,1
0697,train,3
0088,train,0
0359,val,-1
0989,train,0
0511,train,1
0513,train,0
0417,test,-1
0753,train,1
0673,train,0
0117,val,-1
0872,test,-1
0834,train,0
0622,train,2
0831,train,2
0538,test,-1
0490,test,-1
1114,val,-1
0921,val,-1
1098,test,-1
0614,test,-1
1055,train,3
0692,train,2
0884,train,1
1126,train,4
0119,train,3
0664,train,3
0366,test,-1
0821,val,-1
0026,train,0
0252,train,2
0503,train,4
0644,val,-1
0995,val,-1
0085,test,-1
0828,train,1
0757,train,2
0379,test,-1
0172,train,4
0386,train,0
0950,train,3
0361,test,-1
0855,train,2
0976,train,4
1034,test,-1
0542,test,-1
0711,val,-1
1020,train,4
1123,train,0
1007,train,1
0554,train,2
0905,val,-1
1101,train,3
1089,train,1
0057,train,4
0645,train,4
0939,train,1
0680,train,4
0500,test,-1
0007,train,2
1042,train,4
1062,train,4
1111,train,2
1038,test,-1
0521,train,3
0317,val,-1
0973,train,3
0305,train,1
0365,train,3
0055,train,2
0077,test,-1
0106,test,-1
0023,train,4
1000,train,1
0772,train,0
0646,test,-1
0438,train,3
0229,train,0
0729,train,0
0826,test,-1
0157,train,1
0402,train,4
0547,val,-1
0035,train,3
0800,train,1
0369,val,-1
0925,val,-1
0018,train,1
0113,val,-1
0376,val,-1
0224,train,0
0477,train,3
0128,train,1
1021,test,-1
0225,train,0
0603,val,-1
0642,train,2
0286,train,1
0891,train,0
0957,train,3
0980,train,4
1063,train,4
0767,train,0
0421,train,1
0338,test,-1
0154,val,-1
0829,train,0
0914,train,4
0576,test,-1
0782,train,1
0798,test,-1
1115,train,2
0634,val,-1
0429,train,1
0852,train,0
0803,train,2
0839,train,4
0781,val,-1
0288,train,4
1087,train,1
0836,val,-1
0208,test,-1
0436,test,-1
0670,train,2
0451,val,-1
0371,test,-1
0652,train,2
0493,test,-1
1139,test,-1
1136,test,-1
1134,test,-1
1149,test,-1
1150,train,4
1143,train,2
1132,train,3
1142,train,0
1144,val,-1
1152,train,2
1146,train,0
1138,test,-1
1217,train,4
1133,val,-1
1137,test,-1
1153,train,0
1135,train,3
1145,train,1
1141,val,-1
1151,train,3
1147,train,0
1131,train,3
1148,train,2
1140,train,4
1206,test,-1
1244,train,1
1196,train,3
1175,train,2
1158,train,1
1235,val,-1
1233,train,4
1199,train,0
1231,train,2
1205,train,4
1222,train,1
1246,val,-1
1163,train,4
1159,train,3
1234,val,-1
1230,val,-1
1213,test,-1
1185,train,2
1173,train,2
1193,train,1
1179,train,3
1237,train,1
1198,train,3
1162,val,-1
1220,train,4
1201,val,-1
1216,train,4
1161,val,-1
1232,train,0
1191,train,1
1203,train,0
1247,train,0
1169,train,4
1219,train,4
1192,train,2
1228,test,-1
1164,train,4
1209,train,1
1227,train,4
1183,train,2
1224,train,3
1208,test,-1
1160,train,0
1166,val,-1
1174,test,-1
1154,val,-1
1210,train,0
1240,train,1
1242,val,-1
1189,train,1
1218,train,2
1243,train,2
1188,train,1
1194,train,2
1178,val,-1
1202,train,4
1182,train,4
1212,train,0
1214,train,3
1215,val,-1
1156,train,0
1172,val,-1
1195,train,3
1223,train,3
1186,val,-1
1180,train,0
1197,train,1
1239,train,0
1200,train,1
1168,val,-1
1204,val,-1
1190,test,-1
1165,train,1
1155,test,-1
1211,test,-1
1181,test,-1
1221,val,-1
1167,test,-1
1176,train,4
1238,train,0
1226,train,0
1187,train,3
1177,train,1
1184,test,-1
1236,val,-1
1171,test,-1
1248,train,0
1249,val,-1
1241,val,-1
1207,train,4
1170,train,0
1245,train,4
1157,train,3
1229,val,-1
1225,val,-1
